"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"19-Feb-2020","     8277.40","     8390.40","     8276.15","     8378.65","       45593806","         2683.07"
"20-Feb-2020","     8401.55","     8473.80","     8348.75","     8364.35","       36971243","         2347.38"
"24-Feb-2020","     8275.95","     8281.95","     8086.65","     8115.55","       50488414","         2542.04"
"25-Feb-2020","     8153.85","     8153.85","     7898.35","     7938.45","       39869569","         2155.97"
"26-Feb-2020","     7886.35","     7931.70","     7813.95","     7839.20","       44448864","         2377.21"
"27-Feb-2020","     7824.50","     7903.55","     7740.95","     7885.15","       40519410","         2155.45"
"28-Feb-2020","     7751.45","     7786.60","     7559.00","     7576.75","       35181304","         2231.68"
"02-Mar-2020","     7675.55","     7768.00","     7463.05","     7535.10","       28891044","         1856.49"
"03-Mar-2020","     7606.80","     7966.15","     7603.15","     7920.60","       41206044","         2483.71"
"04-Mar-2020","     7970.00","     8131.85","     7840.85","     8086.55","       57962920","         3239.18"
"05-Mar-2020","     8125.90","     8281.70","     8122.60","     8146.00","       40817153","         2328.36"
"06-Mar-2020","     7863.10","     8057.95","     7860.60","     8018.30","       27817586","         1930.43"
"09-Mar-2020","     7921.25","     7999.30","     7698.25","     7756.45","       33459937","         2008.99"
"11-Mar-2020","     7754.75","     7779.10","     7596.35","     7623.05","       36502334","         2014.03"
"12-Mar-2020","     7408.40","     7423.95","     6868.70","     6942.55","       52330391","         2476.46"
"13-Mar-2020","     6558.25","     7469.70","     6242.85","     7268.00","       51705471","         2392.35"
"16-Mar-2020","     7075.35","     7406.05","     6909.65","     6959.35","       47249630","         2159.38"
"17-Mar-2020","     7014.50","     7289.65","     6927.05","     6979.10","       40951602","         2090.06"
"18-Mar-2020","     7135.05","     7145.40","     6666.85","     6705.75","       44945057","         2100.15"
"19-Mar-2020","     6489.50","     6871.40","     6332.00","     6655.50","       35700672","         1816.28"
"20-Mar-2020","     6740.25","     7088.15","     6728.75","     6951.90","       50098202","         2534.08"
"23-Mar-2020","     6518.00","     6850.55","     6380.10","     6432.30","       33278043","         1568.33"
"24-Mar-2020","     6589.45","     6828.30","     6532.65","     6611.05","       34381735","         1718.40"
"25-Mar-2020","     6539.60","     6746.30","     6538.55","     6695.55","       30766064","         1440.78"
"26-Mar-2020","     6845.25","     6963.25","     6743.05","     6775.00","       43517854","         2192.20"
"27-Mar-2020","     6924.60","     7058.80","     6697.95","     6813.05","       40899569","         2100.60"
"30-Mar-2020","     6708.70","     6970.50","     6608.80","     6896.00","       38187086","         1912.74"
"31-Mar-2020","     7074.20","     7224.35","     6951.40","     7176.50","       39022078","         2097.70"
