Date,Open,High,Low,Close,Adj Close
2020-03-18,135.759995,312.190002,135.759995,166.789993,166.789993
2020-03-19,157,178.880005,147.199997,164.059998,164.059998
2020-03-20,161.669998,212.509995,155.050003,190.080002,190.080002
2020-03-23,190.080002,222.830002,182.050003,185.679993,185.679993
2020-03-24,167.259995,202.630005,162.110001,170.860001,170.860001
2020-03-25,154.710007,177.070007,138.660004,144.029999,144.029999
2020-03-26,149.779999,155.429993,134.279999,150.059998,150.059998
2020-03-27,158.669998,175.880005,140.679993,175.880005,175.880005
2020-03-30,145.080002,182.199997,141.179993,174.220001,174.220001
2020-03-31,162.220001,205.460007,146.660004,170.550003,170.550003
2020-04-01,156.110001,174.690002,142.380005,158.979996,158.979996
2020-04-02,165.479996,189.119995,113.080002,162.649994,162.649994
2020-04-03,148.690002,152.809998,134.449997,141.679993,141.679993
2020-04-06,141.679993,153.860001,131.029999,144.190002,144.190002
2020-04-07,130.529999,141.929993,124.93,139.130005,139.130005
2020-04-08,133.630005,148.149994,125.010002,141.460007,141.460007
2020-04-09,139.330002,251.240005,111.800003,129.880005,129.880005
2020-04-13,129.880005,141.630005,110.150002,114.440002,114.440002
2020-04-14,108.059998,130.770004,106.370003,115.480003,115.480003
2020-04-15,113.110001,142.149994,98.339996,120.379997,120.379997
2020-04-16,129.25,129.25,105.589996,115.099998,115.099998
2020-04-17,115.099998,121.940002,90.559998,95.910004,95.910004
2020-04-20,95.910004,237.869995,95.910004,226.130005,226.130005
2020-04-21,226.130005,517.190002,213.589996,325.149994,325.149994
2020-04-22,234.660004,320.309998,176.720001,236.800003,236.800003
2020-04-23,205.710007,289.429993,205.639999,211,211
2020-04-24,211,216.229996,137.179993,173.529999,173.529999
2020-04-27,173.529999,227.399994,173.529999,185.470001,185.470001
2020-04-28,185.740005,326.730011,144.550003,198.770004,198.770004
2020-04-29,198.770004,198.770004,195.589996,195.589996,195.589996
2020-04-30,97.07,107.800003,93.800003,104.980003,104.980003
2020-05-01,104.980003,112.449997,104.879997,110.18,110.18
2020-05-04,110.18,112.029999,96.610001,97.419998,97.419998
2020-05-05,97.419998,103.739998,89.669998,97.269997,97.269997
2020-05-06,101.849998,122.169998,99.029999,115.389999,115.389999
2020-05-07,115.389999,115.699997,103.400002,110.620003,110.620003
2020-05-08,110.620003,116.470001,97.5,98.699997,98.699997
2020-05-11,98.699997,116.169998,90.669998,109.720001,109.720001
2020-05-12,95.57,96.139999,82.980003,86.860001,86.860001
2020-05-13,86.860001,88.730003,79.610001,82.830002,82.830002
2020-05-14,82.830002,84.080002,73.410004,80.050003,80.050003
2020-05-15,80.260002,82.379997,73.300003,76.389999,76.389999
2020-05-18,76.389999,76.800003,70.110001,76.139999,76.139999
2020-05-19,76.139999,76.139999,71.099998,73.220001,73.220001
2020-05-20,73.220001,77.410004,69.370003,73.620003,73.620003
2020-05-21,73.620003,92.449997,70.339996,89.059998,89.059998
2020-05-22,89.059998,89.059998,82.739998,84.980003,84.980003
2020-05-26,84.980003,86.809998,73.910004,75.470001,75.470001
2020-05-27,75.470001,76.419998,71.620003,73.889999,73.889999
2020-05-28,73.889999,75.300003,71.330002,72.980003,72.980003
2020-05-29,72.480003,73.120003,67.139999,69.230003,69.230003
2020-06-01,72.400002,72.480003,64.379997,64.379997,64.379997
2020-06-02,64.379997,66.300003,62.290001,64.709999,64.709999
2020-06-03,65.690002,66.769997,61.48,65.730003,65.730003
2020-06-04,66.459999,66.93,63.07,65.129997,65.129997
2020-06-05,60.389999,64.889999,57.720001,64.199997,64.199997
2020-06-08,64.199997,71.290001,63.880001,67.239998,67.239998
2020-06-09,67.239998,69.139999,64.269997,67.760002,67.760002
2020-06-10,67.279999,69.360001,62.48,63.060001,63.060001
2020-06-11,76.839996,76.839996,64.599998,69.959999,69.959999
2020-06-12,70.879997,71.93,62.779999,70.220001,70.220001
2020-06-15,70.220001,81.379997,66.220001,68.110001,68.110001
2020-06-16,75.400002,75.400002,57.830002,66.629997,66.629997
2020-06-17,68.419998,69.459999,60.700001,61.450001,61.450001
2020-06-18,61.450001,63.48,59.860001,61.349998,61.349998
2020-06-19,61.349998,61.349998,55.419998,58.73,58.73
2020-06-22,59.66,60.27,55.93,56.759998,56.759998
2020-06-23,56.759998,59.150002,53.759998,58.830002,58.830002
2020-06-24,58.830002,64.959999,57.860001,64.959999,64.959999
2020-06-25,64.959999,70.129997,61.779999,62.689999,62.689999
2020-06-26,62.689999,66.129997,61.189999,63.689999,63.689999
